Species,System,d13C,d15N,d34S,ind
Snook,ACS,-21.04,10.95,4.73,5
Snook,ACS,-15.07,10.25,4.66,6
Snook,ACS,-13.56,10.64,4.62,7
Snook,ACS,-16.7,10.7,4.49,8
Snook,ACS,-14.35,10.61,4.96,9
Snook,ACS,-19.89,10.55,4.5,14
Snook,ACS,-14.95,10.08,4.89,15
Snook,ACS,-15.64,9.47,3.01,16
Snook,ACS,-15.8,10.1,8.26,17
Snook,ACS,-18.42,10.38,3.38,18
Snook,ACS,-19.76,10.97,2.23,19
Snook,ACS,-17.7,10.44,5.49,20
Snook,ACS,-17.42,10.28,3.19,21
Tarpon,ACS,-18.71,10.95,5.38,22
Snook,ACS,-20.95,10.96,7.02,23
Snook,ACS,-18.11,10.77,5.58,25
Snook,ACS,-21.16,11.45,7.51,26
Snook,ACS,-18.16,11.62,6.88,27
Tarpon,ACS,-17.88,10.21,6.45,29
Tarpon,ACS,-17.84,10.71,7.35,30
Snook,ACS,-18.59,11.53,6.05,31
Snook,ACS,-19.06,12.02,7.02,32
Snook,ACS,-16.67,11.71,6.4,44
Tarpon,ACS,-18.05,10.34,5.47,45
Snook,ACS,-17.76,12.2,6.14,47
Snook,ACS,-15.34,10.25,4.9,49
Snook,ACS,-16.51,10.57,3.98,57
Snook,ACS,-12.78,9.85,3.88,58
Snook,ACS,-18.54,10.64,5.13,59
Snook,ACS,-12.47,9.73,3.57,60
Snook,ACS,-16.12,9.52,4.45,61
Snook,ACS,-17.53,11.07,6.86,62
Snook,ACS,-18.31,10,7.86,63
Tarpon,ACS,-18.29,8.46,6.29,64
Tarpon,ACS,-18.46,8.96,7.33,65
Tarpon,ACS,-17.05,10.1,8.28,66
Tarpon,ACS,-17.45,10.54,7.85,67
Tarpon,ACS,-17.48,9.22,6.57,68
Tarpon,ACS,-18.34,8.95,6.01,69
Tarpon,ACS,-18.18,9.64,8.41,70
Snook,ACS,-12.89,10.49,5.42,71
Snook,ACS,-17.42,10.52,7.31,72
Snook,ACS,-18.27,11.22,6.19,73
Snook,ACS,-18.14,9.89,3.59,74
Snook,ACS,-18.45,9.77,0.7,75
Tarpon,ACS,-17.31,9.75,6.34,76
Tarpon,ACS,-18.47,9.5,5.11,77
Tarpon,ACS,-17.49,9.75,5.76,78
Snook,ACS,-18.06,10.29,4.49,79
Snook,ACS,-18.48,9.75,3.54,80
Snook,ACS,-13.28,10,5.43,81
Tarpon,ACS,-18.59,9.85,6.59,82
Snook,ACS,-18.21,10.19,4.94,83
Tarpon,ACS,-18.02,9.85,5.03,84
Snook,ACS,-16.74,9.77,2.97,85
Snook,ACS,-19.21,10.33,2.38,86
Tarpon,ACS,-22.53,8.36,1.25,87
Tarpon,ACS,-18.47,10.13,4.85,91
Snook,ACS,-17.54,12.09,6.52,99
Snook,ACS,-13.18,9.06,4.21,100
Snook,ACS,-18.62,11.25,5.35,101
Tarpon,ACS,-18.07,10.97,5.2,102
Snook,ACS,-18.76,11.61,7.14,105
Snook,ACS,-17.9,12.53,4.89,106
Snook,ACS,-18.33,12.35,7.03,107
Tarpon,ACS,-19.06,10.89,7.17,108
Snook,ACS,-15.14,10.2,4.37,109
Snook,ACS,-13.77,9.57,4.96,110
Snook,ACS,-18.85,10.87,4.42,111
